user_ID,username,repo_count,Assembly,C,C++,C#,Dart,Go,Java,JavaScript,Kotlin,MATLAB,PHP,Python,Ruby,Rust,Scala,Swift,stack
1000001,CSturzaker,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frontend-JavaScript
1000006,Jbartsch,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,Frontend-JavaScript;Backend-PHP
1000007,ieatacid,4,0.0,0.25,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Systems-C;Systems-C++;Backend-C#
1000019,achliopa,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frontend-JavaScript
1000022,jgraber,14,0.0,0.0,0.0,0.286,0.0,0.0,0.071,0.5,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,Backend-C#;Frontend-JavaScript
1000026,jitendratheta,8,0.0,0.0,0.125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,Backend-Java;Backend-Python
1000036,bastaware,3,0.0,0.0,0.0,0.0,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mobile-Dart/Flutter;Backend-Java
1000043,borysiasty,3,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,Systems-C++;Backend-Python
1000056,RNAer,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Backend-Python
1000058,patriksimek,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,Frontend-JavaScript;Backend-Python
1000068,ethicalvats,4,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Backend-Go;Frontend-JavaScript
